"","AAL","AB","AGL","AL","ALD","ANL","ANT","APS","AZ","BEH","BEO","BLU","BP","BPW","BRB","BRD","BRM","CAL","CDU","CITROPSIS","CLS","CMC","CMG","CMI","CMU","CNS","COG","COM","COS","CP","CPR","CSY","CWI","CYA","CZE","DD","DIA","DPS","DS","DSP","DU","EA","EC","EE","ENA","ENC","ENU","ES","FAA","FAN","FE","FL","FLE","FN","FO","FOV","FSS","FSU","FUA","FUE","FVR","GC","GS","HG","IG","KA","KLG","LM","LMM","LOVOA","LPD","LPM","LT","LYC","MA","MBG","MD","MDI","ME","MEL","MEX","MIE","MIL","ML","MM","MO","MOA","MOL","MP","MRB","MS","MST","MYH","NUETONIA","OB","OUH","PSM","R","R1","RD","RH","RI","SA","SC","SPI","SS","TAF","TD","TH","TN","TO","TRP","TRR","TT","UC","UNK","UNK2","UNKI"
"Unlogged_2_20",0,1,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,11,1,1,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0
"Unlogged_2_200",0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,11,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,81,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,2,0,0,4,1,0,0,0,0,0
"Unlogged_2_30",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,0,0,0,0,0,0,1,2,0,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0
"Unlogged_2_40",0,3,0,0,0,2,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,3,0,1,0,1,0,0,18,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,61,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"Unlogged_2_50",0,2,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,36,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,5,0,5,0,0,0,2,0,0,0,0,0
"Unlogged_2_60",0,1,0,0,0,1,2,0,0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,44,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
"Unlogged_2_70",0,1,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,4,0,0,0,1,0,0,3,1,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,1,0,17,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0
"Unlogged_2_80",0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0
"Unlogged_2_90",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,1,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,16,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,23,0,0,0,0,2,0,2,0,1,1,12,0,0,0,0,0
"Unlogged_3_10",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,21,0,0,1,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,49,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,2,0,0,0,4,1,0,0,0,0
"Unlogged_3_100",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,40,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0
"Unlogged_3_110",0,1,0,0,1,0,2,0,0,2,0,0,1,0,0,0,3,2,0,0,0,0,0,20,0,0,2,0,0,0,0,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,53,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Unlogged_3_120",0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,1,56,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,41,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0,1,5,0,0,0,0,0
